,Date,Hour,Dew_Point,TD1,TD2,TD3,TD4,TD5
232,2023/1/20,08:20,5,10,1013,"5,56 km/sa, KB","10,00",Bulut Tavanı ve Görüş Temiz
233,2023/1/20,10:20,4,14,1013,"5,56 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
234,2023/1/20,12:20,4,15,1012,"14,8 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
235,2023/1/20,14:20,3,17,1009,"13,0 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
236,2023/1/20,16:20,2,17,1009,"7,41 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
237,18:20,18:20,,,,,,
238,2023/1/20,20:20,9,11,1012,"14,8 km/sa, G","10,00",Çok bulutlu (3.048 m)
239,2023/1/20,22:20,9,12,1013,"13,0 km/sa, G","10,00",Çok bulutlu (3.048 m)
240,2023/1/21,00:20,8,13,1014,"24,1 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
241,2023/1/21,02:20,8,12,1015,"20,4 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
242,2023/1/21,04:20,8,12,1016,"13,0 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
243,2023/1/21,06:20,7,12,1016,"14,8 km/sa, G","10,00",Az Bulutlu (1.372 m)
244,2023/1/21,08:20,7,11,1016,"9,26 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
245,2023/1/21,10:20,8,13,1017,"14,8 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
246,2023/1/21,12:20,7,14,1017,"13,0 km/sa, GD","10,00",Bulut Tavanı ve Görüş Temiz
247,2023/1/21,14:20,6,15,1016,"13,0 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
248,2023/1/21,16:20,5,17,1017,"9,26 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
249,2023/1/21,18:20,5,15,1017,"3,70 km/sa","10,00",Bulut Tavanı ve Görüş Temiz
250,2023/1/21,20:20,6,14,1018,"7,41 km/sa, K","10,00",Bulut Tavanı ve Görüş Temiz
251,2023/1/21,22:20,6,12,1019,"7,41","10,00",Bulut Tavanı ve Görüş Temiz
252,2023/1/22,00:20,6,11,1019,"5,56 km/sa, K","6,00",Önemli Bulut Yok
253,2023/1/22,02:20,6,10,1019,"7,41 km/sa, K","7,00",Önemli Bulut Yok
254,04:20,04:20,,,,,,
255,2023/1/22,06:20,6,9,1020,"5,56","10,00",Bulut Tavanı ve Görüş Temiz
256,2023/1/22,08:20,7,9,1020,"5,56 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
257,2023/1/22,10:20,9,12,1021,"1,85 km/sa","10,00",Bulut Tavanı ve Görüş Temiz
258,2023/1/22,12:20,9,15,1021,"3,70 km/sa","10,00",Bulut Tavanı ve Görüş Temiz
259,2023/1/22,14:20,6,16,1021,"7,41 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
260,2023/1/22,16:20,6,17,1021,"5,56 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
261,2023/1/22,18:20,6,14,1021,"5,56 km/sa, B","10,00",Bulut Tavanı ve Görüş Temiz
262,2023/1/22,20:20,7,12,1022,"3,70 km/sa","10,00",Bulut Tavanı ve Görüş Temiz
263,2023/1/22,22:20,7,12,1023,"3,70 km/sa, KB","10,00",Bulut Tavanı ve Görüş Temiz
264,2023/1/23,00:20,8,11,1023,"20,4 km/sa, K","10,00",Bulut Tavanı ve Görüş Temiz
265,2023/1/23,02:20,8,9,1023,"20,4 km/sa, K","7,00",Çok bulutlu (366 m)
266,2023/1/23,04:20,8,10,1024,"20,4","10,00",Çok bulutlu (366 m)
267,2023/1/23,06:20,7,10,1025,"24,1","10,00",Çok bulutlu (396 m)
268,2023/1/23,08:20,7,10,1026,"24,1","10,00",Çok bulutlu (427 m)
269,2023/1/23,10:20,6,10,1027,"24,1","10,00",Kapalı (549 m)
270,2023/1/23,12:20,6,11,1027,"22,2","10,00",Kapalı (640 m)
271,2023/1/23,14:20,5,11,1026,"27,8","9,00",Çok bulutlu (701 m)
272,2023/1/23,16:20,5,11,1027,"24,1","10,00",Çok bulutlu (823 m)
273,2023/1/23,18:20,6,10,1027,"29,6","10,00",Çok bulutlu (732 m)
274,2023/1/23,20:20,6,10,1028,"25,9","10,00",Kapalı (853 m)
275,2023/1/23,22:20,6,10,1028,"25,9","10,00",Kapalı (853 m)
276,2023/1/24,00:20,6,9,1028,"31,5","10,00",Kapalı (914 m)
277,2023/1/24,02:20,5,9,1028,"24,1","10,00",Kapalı (914 m)
278,2023/1/24,04:20,4,9,1028,"25,9","10,00",Kapalı (914 m)
279,2023/1/24,06:20,3,8,1028,"24,1 km/sa, K","10,00",Kapalı (975 m)
280,2023/1/24,08:20,3,8,1029,"22,2 km/sa, K","10,00",Kapalı (975 m)
281,2023/1/24,10:20,2,9,1029,"27,8 km/sa, K","10,00",Kapalı (975 m)
282,2023/1/24,12:20,2,9,1029,"29,6 km/sa, K","10,00",Çok bulutlu (1.219 m)
283,2023/1/24,14:20,3,10,1028,"29,6 km/sa, K","10,00",Parçalı Bulutlu (1.219 m)
284,2023/1/24,16:20,2,9,1028,"27,8 km/sa, K","10,00",Bulut Tavanı ve Görüş Temiz
